Consortium,Data Provider,HRA organ,Tissue block ID,RUI JSON ID,Registration Quality,Reason,Other comments,Unnamed: 8,Unnamed: 9,Unnamed: 10
Buck TMC,Kevin Schneider,Breast,SNT687.HDDK.766,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT733.FZTP.956,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT734.KBWG.884,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT739.GPMS.584,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT747.ZHWW.623,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT748.QWWL.828,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT749.WHJW.354,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT759.TRQH.844,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT763.HFCV.833,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT767.LVNC.262,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT769.KWXS.779,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT769.PMFN.477,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT773.WFMF.824,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT776.FTDR.564,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT787.ZGPV.644,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT794.LRCP.628,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT795.WRBF.353,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT825.WKFC.452,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT827.SHRK.628,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT828.NRCF.634,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT868.XZPZ.366,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT876.WHBW.497,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT877.NWZB.776,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT879.GHQH.667,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT879.RNWF.677,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT885.QFZG.287,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT888.LDQM.374,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT893.BQST.955,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT893.XXMC.635,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT929.TNBM.777,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT934.WHQZ.892,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT947.DDZZ.644,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT966.WCZN.393,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT967.JCRZ.336,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
