origin_lab_id,lab_tissue_sample_id,Y,Z,X,gender,entity_type,sample_category
D460-LL,D460-LLL-B6A,,,,M,Sample,block
D460-LL,D460-LLL-B6B,,,,M,Sample,block
D460-LL,D460-LLL-B6C,,,,M,Sample,block
D460-LL,D460-LLL-B6D,,,,M,Sample,block
D460-LL,D460-LLL-B7A,,,,M,Sample,block
D460-LL,D460-LLL-B7B,,,,M,Sample,block
D460-LL,D460-LLL-B7C,,,,M,Sample,block
D460-LL,D460-LLL-B7D,,,,M,Sample,block
D460-LL,D460-LLL-B8A,,,,M,Sample,block
D460-LL,D460-LLL-B8B,,,,M,Sample,block
D460-LL,D460-LLL-B8C,,,,M,Sample,block
D460-LL,D460-LLL-B8D,,,,M,Sample,block
D460-LL,D460-LLL-B9A,,,,M,Sample,block
D460-LL,D460-LLL-B9B,,,,M,Sample,block
D460-LL,D460-LLL-B9C,,,,M,Sample,block
D460-LL,D460-LLL-B9D,,,,M,Sample,block
D460-LL,D460-LUL-A2A,,,,M,Sample,block
D460-LL,D460-LUL-A2B,,,,M,Sample,block
D460-LL,D460-LUL-A2C,,,,M,Sample,block
D460-LL,D460-LUL-A2D,,,,M,Sample,block
D460-LL,D460-LUL-A3A,,,,M,Sample,block
D460-LL,D460-LUL-A3B,,,,M,Sample,block
D460-LL,D460-LUL-A3C,,,,M,Sample,block
D460-LL,D460-LUL-A3D,,,,M,Sample,block
D460-LL,D460-LUL-A4A,,,,M,Sample,block
D460-LL,D460-LUL-A4B,,,,M,Sample,block
D460-LL,D460-LUL-A4C,,,,M,Sample,block
D460-LL,D460-LUL-A4D,,,,M,Sample,block
D460-LL,D460-LUL-A5A,,,,M,Sample,block
D460-LL,D460-LUL-A5B,,,,M,Sample,block
D460-LL,D460-LUL-A5C,,,,M,Sample,block
D460-LL,D460-LUL-A5D,,,,M,Sample,block
D460-LL,D460-LUL-B2A,,,,M,Sample,block
D460-LL,D460-LUL-B2B,,,,M,Sample,block
D460-LL,D460-LUL-B2C,,,,M,Sample,block
D460-LL,D460-LUL-B2D,,,,M,Sample,block
D460-LL,D460-LUL-B3A,,,,M,Sample,block
D460-LL,D460-LUL-B3B,,,,M,Sample,block
D460-LL,D460-LUL-B3C,,,,M,Sample,block
D460-LL,D460-LUL-B3D,,,,M,Sample,block
D460-LL,D460-LUL-B4A,,,,M,Sample,block
D460-LL,D460-LUL-B4B,,,,M,Sample,block
D460-LL,D460-LUL-B4C,,,,M,Sample,block
D460-LL,D460-LUL-B4D,,,,M,Sample,block
D460-LL,D460-LUL-B5A,,,,M,Sample,block
D460-LL,D460-LUL-B5B,,,,M,Sample,block
D460-LL,D460-LUL-B5C,,,,M,Sample,block
D460-LL,D460-LUL-B5D,,,,M,Sample,block
D460-RL,D460-RLL-16A6,,,,M,Sample,block
D460-RL,D460-RLL-16B2,,,,M,Sample,block
D460-RL,D460-RLL-16C3,,,,M,Sample,block
D460-RL,D460-RLL-16D1,,,,M,Sample,block
D460-RL,D460-RUL-9A5,,,,M,Sample,block
D460-RL,D460-RUL-9A6,,,,M,Sample,block
D460-RL,D460-RUL-9B2,,,,M,Sample,block
D460-RL,D460-RUL-9B3,,,,M,Sample,block
D460-VPA,D460-VPA-A1A,,,,M,Sample,block
D460-VPA,D460-VPA-A1B,,,,M,Sample,block
D460-VPA,D460-VPA-A1C,,,,M,Sample,block
D460-VPA,D460-VPA-A1D,,,,M,Sample,block
D460-VPA,D460-VPA-B1A,,,,M,Sample,block
D460-VPA,D460-VPA-B1B,,,,M,Sample,block
D460-VPA,D460-VPA-B1C,,,,M,Sample,block
D460-VPA,D460-VPA-B1D,,,,M,Sample,block
D478-BRL,D478-BRL-A1A,,,,M,Sample,block
D478-BRL,D478-BRL-A1B,,,,M,Sample,block
D478-BRL,D478-BRL-A1C,,,,M,Sample,block
D478-BRL,D478-BRL-A1D,,,,M,Sample,block
D478-BRL,D478-BRL-B1A,,,,M,Sample,block
D478-BRL,D478-BRL-B1B,,,,M,Sample,block
D478-BRL,D478-BRL-B1C,,,,M,Sample,block
D478-BRL,D478-BRL-B1D,,,,M,Sample,block
D478-LL,D478-LLL-A6A,,,,M,Sample,block
D478-LL,D478-LLL-A6B,,,,M,Sample,block
D478-LL,D478-LLL-A6C,,,,M,Sample,block
D478-LL,D478-LLL-A6D,,,,M,Sample,block
D478-LL,D478-LLL-A7A,,,,M,Sample,block
D478-LL,D478-LLL-A7B,,,,M,Sample,block
D478-LL,D478-LLL-A7C,,,,M,Sample,block
D478-LL,D478-LLL-A7D,,,,M,Sample,block
D478-LL,D478-LLL-A8A,,,,M,Sample,block
D478-LL,D478-LLL-A8B,,,,M,Sample,block
D478-LL,D478-LLL-A8C,,,,M,Sample,block
D478-LL,D478-LLL-A8D,,,,M,Sample,block
D478-LL,D478-LLL-A9A,,,,M,Sample,block
D478-LL,D478-LLL-A9B,,,,M,Sample,block
D478-LL,D478-LLL-A9C,,,,M,Sample,block
D478-LL,D478-LLL-A9D,,,,M,Sample,block
D478-LL,D478-LLL-B6A,,,,M,Sample,block
D478-LL,D478-LLL-B6B,,,,M,Sample,block
D478-LL,D478-LLL-B6C,,,,M,Sample,block
D478-LL,D478-LLL-B6D,,,,M,Sample,block
D478-LL,D478-LLL-B7A,,,,M,Sample,block
D478-LL,D478-LLL-B7B,,,,M,Sample,block
D478-LL,D478-LLL-B7C,,,,M,Sample,block
D478-LL,D478-LLL-B7D,,,,M,Sample,block
D478-LL,D478-LLL-B8A,,,,M,Sample,block
D478-LL,D478-LLL-B8B,,,,M,Sample,block
D478-LL,D478-LLL-B8C,,,,M,Sample,block
D478-LL,D478-LLL-B8D,,,,M,Sample,block
D478-LL,D478-LLL-B9A,,,,M,Sample,block
D478-LL,D478-LLL-B9B,,,,M,Sample,block
D478-LL,D478-LLL-B9C,,,,M,Sample,block
D478-LL,D478-LLL-B9D,,,,M,Sample,block
D478-LL,D478-LUL-A2A,,,,M,Sample,block
D478-LL,D478-LUL-A2B,,,,M,Sample,block
D478-LL,D478-LUL-A2C,,,,M,Sample,block
D478-LL,D478-LUL-A2D,,,,M,Sample,block
D478-LL,D478-LUL-A3A,,,,M,Sample,block
D478-LL,D478-LUL-A3B,,,,M,Sample,block
D478-LL,D478-LUL-A3C,,,,M,Sample,block
D478-LL,D478-LUL-A3D,,,,M,Sample,block
D478-LL,D478-LUL-A4A,,,,M,Sample,block
D478-LL,D478-LUL-A4B,,,,M,Sample,block
D478-LL,D478-LUL-A4C,,,,M,Sample,block
D478-LL,D478-LUL-A4D,,,,M,Sample,block
D478-LL,D478-LUL-A5A,,,,M,Sample,block
D478-LL,D478-LUL-A5B,,,,M,Sample,block
D478-LL,D478-LUL-A5C,,,,M,Sample,block
D478-LL,D478-LUL-A5D,,,,M,Sample,block
D478-LL,D478-LUL-B2A,,,,M,Sample,block
D478-LL,D478-LUL-B2B,,,,M,Sample,block
D478-LL,D478-LUL-B2C,,,,M,Sample,block
D478-LL,D478-LUL-B2D,,,,M,Sample,block
D478-LL,D478-LUL-B3A,,,,M,Sample,block
D478-LL,D478-LUL-B3B,,,,M,Sample,block
D478-LL,D478-LUL-B3C,,,,M,Sample,block
D478-LL,D478-LUL-B3D,,,,M,Sample,block
D478-LL,D478-LUL-B4A,,,,M,Sample,block
D478-LL,D478-LUL-B4B,,,,M,Sample,block
D478-LL,D478-LUL-B4C,,,,M,Sample,block
D478-LL,D478-LUL-B4D,,,,M,Sample,block
D478-LL,D478-LUL-B5A,,,,M,Sample,block
D478-LL,D478-LUL-B5B,,,,M,Sample,block
D478-LL,D478-LUL-B5C,,,,M,Sample,block
D478-LL,D478-LUL-B5D,,,,M,Sample,block
Tonsil-11,Tonsil_11_5,,,,NA,Sample,block
