block_id,slice_id,filename,tree_pos,slice_number,Unnamed: 0,x,y,z_slice,color,r,g,b,xlim,ylim,pin_nhash_id,polygon_nhash_id,atlas_id,local_name,slab_nhash_id,donor_nhash_id,slab_name,donor_name,pin_MRI_x,pin_MRI_y,pin_HCP_x,pin_HCP_y,pin_HCP_z,pin_MNI_x,pin_MNI_y,pin_MNI_z,polygon_area,polygon_volume(mm^3)
B4,112363146,slice_429.png,428,1947,RI-OJKNLM426097,89,1153,1947,CHOCOLATE,210,105,30,1528,1072,RI-NPQPQP106248,RI-OJKNLM426097,265297126,H18.30.002.10x.DTg,SL-KFFCFM489091,DO-KFFC4890,H18.30.002.CX.52,H18.30.002,319,47,170,189,67,170,189,67,13022,798
B5,112364339,slice_500.png,499,2270,RI-EDDABD942837,682,555,2270,CHOCOLATE,210,105,30,1542,1067,RI-PXYYUS141403,RI-EDDABD942837,265297126,H18.30.002.10x.A19,SL-KFFCWW489030,DO-KFFC4890,H18.30.002.CX.54,H18.30.002,173,179,121,124,173,121,124,173,9517,586
B3,112360837,slice_355.png,354,1600,RI-EEYBXF240496,133,877,1600,CHOCOLATE,210,105,30,1564,1114,RI-TKPPMN978234,RI-EEYBXF240496,265297126,H19.30.002.10x.MD,SL-RLQJWW866674,DO-RLQJ8666,H19.30.002.CX.50,H19.30.002,235,52,170,227,152,170,227,152,8849,160
B3,112360771,slice_368.png,367,1664,RI-ZVTVVZ820345,285,955,1664,CHOCOLATE,210,105,30,1505,1108,RI-PMQNOS788200,RI-ZVTVVZ820345,265297126,H19.30.002.10x.MG,SL-RLQJHH866663,DO-RLQJ8666,H19.30.002.CX.51,H19.30.002,268,87,151,212,130,151,212,130,21408,362
B3,112360837,slice_355.png,354,1600,RI-OTURQO666653,71,185,1600,CHOCOLATE,210,105,30,1564,1114,RI-RSMNKL143217,RI-OTURQO666653,265297126,H19.30.001.CX51.M1C,SL-HBBULN135262,DO-HBBU1352,H19.30.001.CX.51,H19.30.001,62,41,188,180,270,188,180,270,43740,794
B4,112363146,slice_429.png,428,1947,RI-PPSOPO863576,523,909,1947,CHOCOLATE,210,105,30,1528,1072,RI-JJIKFI380697,RI-PPSOPO863576,265297126,H19.30.001.10x.TF,SL-HBBUTT135271,DO-HBBU1352,H19.30.001.CX.52,H19.30.001,254,154,122,180,127,122,180,127,25390,406
B5,112364291,slice_512.png,511,2318,RI-WRVVQN305227,296,554,2318,CHOCOLATE,210,105,30,1537,1006,RI-DDBGIZ498211,RI-WRVVQN305227,265297126,H19.30.001.CX56.V1C,SL-HBBUJC135260,DO-HBBU1352,H19.30.001.CX.56,H19.30.001,181,88,164,128,154,164,128,154,25794,338
B2,112282639,slice_261.png,260,1177,RI-DEBXZZ779943,583,1015,1177,CHOCOLATE,210,105,30,1263,1037,RI-PRPQRT152089,RI-DEBXZZ779943,265297126,H19.30.001.10x.Pir,SL-HBBUVP135290,DO-HBBU1352,H19.30.001.CX.46,H19.30.001,320,159,121,270,93,121,270,93,115526.5,1467
B2,111257553,slice_169.png,168,782,RI-ORSQWO422123,706,272,782,CYAN,0,255,255,1152,892,RI-RVVUTR886175,RI-ORSQWO422123,265297126,H18.30.002.10x.A46,SL-KFFCEE489085,DO-KFFC4890,H18.30.002.CX.43,H18.30.002,139,191,114,293,257,114,293,257,6467,387
B2,111257757,slice_217.png,216,978,RI-QQIJNL193447,132,1116,978,CYAN,0,255,255,1292,940,RI-JEFKJM652526,RI-QQIJNL193447,265297126,H18.30.002.10x.A14,SL-KFFCUB489027,DO-KFFC4890,H18.30.002.CX.45,H18.30.002,339,51,197,299,95,197,299,95,3547.5,216
